letter,weight,relative_weight,weight1,relative_wight1,weight2,relative_weight2,weight3,relative_weight3,weight4,relative_weight4,center_x,center_y,relative_center_x,relative_center_y,inertia_x,inertia_y,relative_inertia_x,relative_inertia_y
α,437.0,0.6464497041420119,113.0,0.6686390532544378,115.0,0.6804733727810651,106.0,0.6272189349112426,103.0,0.6094674556213018,13.00228832951945,12.405034324942791,0.019234154333608654,0.018350642492518922,24455.308924485227,23522.99771167046,0.12805905107365712,0.12317704816839624
β,661.0,0.6392649903288201,152.0,0.5891472868217055,156.0,0.6046511627906976,152.0,0.5891472868217055,201.0,0.7790697674418605,11.18910741301059,24.02269288956127,0.01082118705320173,0.023232778423173374,128998.65960665644,21835.361573373793,0.2952448145240362,0.0499755369354501
γ,612.0,0.7948051948051948,143.0,0.7447916666666666,169.0,0.8802083333333334,130.0,0.6770833333333334,170.0,0.8854166666666666,10.235294117647058,17.877450980392158,0.013292589763177997,0.023217468805704102,57457.80882352938,26952.117647058792,0.15340736688754694,0.07195981686279528
δ,488.0,0.6421052631578947,142.0,0.7473684210526316,109.0,0.5736842105263158,120.0,0.631578947368421,117.0,0.6157894736842106,9.370901639344263,17.868852459016395,0.012330133735979293,0.023511647972389995,57979.606557377076,15325.866803278679,0.243464486014248,0.0643554605754446
ε,322.0,0.6518218623481782,71.0,0.5772357723577236,64.0,0.5203252032520326,91.0,0.7398373983739838,96.0,0.7804878048780488,9.549689440993788,12.329192546583851,0.01933135514371212,0.024957879648955163,16845.105590062118,8883.704968944105,0.16246581526621387,0.08568057722449081
ζ,728.0,0.7982456140350878,172.0,0.7543859649122807,174.0,0.7631578947368421,209.0,0.9166666666666666,173.0,0.7587719298245614,9.01923076923077,23.09065934065934,0.00988950742240216,0.025318705417389627,130336.0164835165,21709.73076923063,0.24592443636697808,0.04096299278700986
η,625.0,0.6944444444444444,132.0,0.5866666666666667,184.0,0.8177777777777778,148.0,0.6577777777777778,161.0,0.7155555555555555,10.8464,18.9248,0.012051555555555555,0.021027555555555556,65783.46560000004,28465.254400000063,0.1684056719360001,0.07287105126400016
θ,515.0,0.6160287081339713,129.0,0.6172248803827751,129.0,0.6172248803827751,127.0,0.6076555023923444,130.0,0.6220095693779905,10.497087378640776,18.56893203883495,0.012556324615599015,0.02221164119477865,69634.30291262157,17846.74563106795,0.26254803624327105,0.06728907769278142
ι,251.0,0.6895604395604396,49.0,0.5384615384615384,59.0,0.6483516483516484,78.0,0.8571428571428571,65.0,0.7142857142857143,6.7848605577689245,12.354581673306773,0.018639726807057486,0.033941158443150474,13931.442231075702,5378.382470119533,0.2211304936600324,0.08536979524324269
κ,442.0,0.6548148148148148,90.0,0.5357142857142857,105.0,0.625,127.0,0.7559523809523809,120.0,0.7142857142857143,13.71945701357466,11.855203619909503,0.02032512150159209,0.017563264622088154,21306.73303167425,30017.212669683202,0.10906171572896874,0.15364761506563748
λ,724.0,0.7827027027027027,160.0,0.6926406926406926,146.0,0.6320346320346321,226.0,0.9783549783549783,192.0,0.8311688311688312,12.640883977900552,17.011049723756905,0.013665820516649246,0.01839032402568314,76847.91160220993,39444.62983425403,0.1466070777796197,0.07525073607768008
μ,606.0,0.6925714285714286,136.0,0.6238532110091743,133.0,0.6100917431192661,153.0,0.7018348623853211,184.0,0.8440366972477065,12.966996699669966,17.625412541254125,0.014819424799622819,0.020143328618576144,66399.96864686464,29351.339933993277,0.18081007484795783,0.07992500717248112
ν,439.0,0.7341137123745819,90.0,0.6040268456375839,111.0,0.7449664429530202,117.0,0.785234899328859,121.0,0.8120805369127517,10.831435079726651,13.004555808656036,0.018112767691850586,0.021746748843906417,25487.990888382694,20559.52619589978,0.13225331379757627,0.10668025900602311
ξ,835.0,0.790719696969697,206.0,0.7803030303030303,216.0,0.8181818181818182,221.0,0.8371212121212122,192.0,0.7272727272727273,10.560479041916167,23.162874251497005,0.010000453638178189,0.021934540010887314,155509.84910179637,34923.695808383236,0.2230411260379309,0.050089563352408814
ο,403.0,0.6458333333333334,110.0,0.7051282051282052,93.0,0.5961538461538461,92.0,0.5897435897435898,108.0,0.6923076923076923,11.307692307692308,12.513647642679901,0.01812130177514793,0.020053922504294712,22940.67493796526,16567.846153846145,0.1412524856255827,0.10201310366941577
π,385.0,0.616,81.0,0.5192307692307693,109.0,0.6987179487179487,82.0,0.5256410256410257,113.0,0.7243589743589743,11.872727272727273,13.150649350649351,0.018996363636363638,0.02104103896103896,14831.262337662325,22516.763636363696,0.10005911511325569,0.15190935156932836
ρ,538.0,0.6792929292929293,138.0,0.696969696969697,112.0,0.5656565656565656,115.0,0.5808080808080808,173.0,0.8737373737373737,11.096654275092936,18.353159851301115,0.014010927115016333,0.0231731816304307,60782.89962825277,17582.973977695117,0.2099988240497394,0.0607474122030345
σ,429.0,0.6128571428571429,93.0,0.5314285714285715,121.0,0.6914285714285714,86.0,0.49142857142857144,129.0,0.7371428571428571,14.018648018648019,13.27039627039627,0.020026640026640025,0.018957708957708957,18550.63403263402,27571.850815850805,0.10079620319729854,0.14981363291794114
τ,330.0,0.6947368421052632,76.0,0.6440677966101694,108.0,0.9152542372881356,63.0,0.5338983050847458,83.0,0.7033898305084746,8.460606060606061,13.196969696969697,0.017811802232854865,0.027783094098883573,13052.196969696968,11739.987878787875,0.11985488493752955,0.10780521468124771
υ,387.0,0.6765734265734266,76.0,0.5314685314685315,91.0,0.6363636363636364,115.0,0.8041958041958042,105.0,0.7342657342657343,11.279069767441861,12.52454780361757,0.019718653439583674,0.021896062593737012,21696.516795865642,13489.860465116299,0.14486653977702757,0.0900711126142012
φ,646.0,0.6646090534979424,143.0,0.588477366255144,181.0,0.7448559670781894,137.0,0.5637860082304527,185.0,0.7613168724279835,13.023219814241486,19.190402476780186,0.013398374294487125,0.01974321242467097,74265.580495356,39180.65170278635,0.17796006023099042,0.09388725019598183
χ,637.0,0.7077777777777777,158.0,0.7022222222222222,138.0,0.6133333333333333,159.0,0.7066666666666667,182.0,0.8088888888888889,12.268445839874412,17.566718995290422,0.013631606488749346,0.019518576661433803,61138.414442700116,37749.09576138217,0.15067295540738726,0.09303099980871424
ψ,765.0,0.7050691244239631,159.0,0.5867158671586716,222.0,0.8191881918819188,160.0,0.5904059040590406,224.0,0.8265682656826568,15.095424836601307,18.622222222222224,0.013912833950784615,0.017163338453661036,80409.82222222205,66824.03398692804,0.1373998414664822,0.11418520054154906
ω,496.0,0.6153846153846154,125.0,0.6218905472636815,119.0,0.5920398009950248,127.0,0.6318407960199005,125.0,0.6218905472636815,14.893145161290322,12.165322580645162,0.018477847594653006,0.015093452333306653,28768.443548387117,31943.336693548397,0.11693728679592838,0.12984251712713155
